"","STATE REPRESENTATIVE, DISTRICT 5"
"","General Election — November 2, 2004"
"",LeROY DOUG TOTAL
"",HENDREN (D) COX (R) VOTES
"",============= ========= =======
DELAWARE,"4,889 7,304 12,193"
MAYES,"1,556 1,030 2,586"
STATE TOTAL:,"6,445 8,334 14,779"
"","STATE REPRESENTATIVE, DISTRICT 8"
"","General Election — November 2, 2004"
"",BEN BILL TOTAL
"",SHERRER (D) KENDRICK (R) VOTES
"",============= ============== =======
MAYES,"6,944 4,036 10,980"
ROGERS,"2,091 1,442 3,533"
WAGONER,132 157 289
STATE TOTAL:,"9,167 5,635 14,802"
"","STATE REPRESENTATIVE, DISTRICT 9"
"","General Election — November 2, 2004"
"",HARVEY A. TAD M. TOTAL
"",SWIFT (D) JONES (R) VOTES
"",=========== =========== =======
ROGERS,"7,194 10,653 17,847"
STATE TOTAL:,"7,194 10,653 17,847"
"","STATE REPRESENTATIVE, DISTRICT 10"
"","General Election — November 2, 2004"
"",JUDY STEVE TOTAL
"",TAYLOR (D) MARTIN (R) VOTES
"",============ ============ =======
NOWATA,"2,296 2,059 4,355"
OSAGE,338 533 871
WASHINGTON,"4,011 4,715 8,726"
STATE TOTAL:,"6,645 7,307 13,952"
"","STATE REPRESENTATIVE, DISTRICT 11"
"","General Election — November 2, 2004"
"",WILLIAM F. MIKE TOTAL
"",BIXLER (D) WILT (R) VOTES
"",============ ========== =======
TULSA,"1,329 2,020 3,349"
WASHINGTON,"3,540 10,645 14,185"
STATE TOTAL:,"4,869 12,665 17,534"
"","STATE REPRESENTATIVE, DISTRICT 12"
"","General Election — November 2, 2004"
"",WADE MARK TOTAL
ROUSSELOT (D),WOFFORD (R) VOTES
"===============",============= =======
ROGERS,216 285 501
WAGONER,"7,431 7,123 14,554"
STATE TOTAL:,"7,647 7,408 15,055"
"","STATE REPRESENTATIVE, DISTRICT 13"
"","General Election — November 2, 2004"
"",JERRY STUART TOTAL
"",McPEAK (D) ERICSON (R) VOTES
"",============ ============= =======
MUSKOGEE,"6,179 5,462 11,641"
WAGONER,"780 1,051 1,831"
STATE TOTAL:,"6,959 6,513 13,472"
"","STATE REPRESENTATIVE, DISTRICT 14"
"","General Election — November 2, 2004"
"",BARBARA FROSTON TOTAL
"",STAGGS (D) BACK (R) VOTES
"",============ ========== =======
CHEROKEE,"1,152 465 1,617"
MUSKOGEE,"9,197 3,003 12,200"
STATE TOTAL:,"10,349 3,468 13,817"
"","STATE REPRESENTATIVE, DISTRICT 15"
"","General Election — November 2, 2004"
"",RAY JEFF TOTAL
"",MILLER (D) PHILLIPS (R) VOTES
"",============ ============== =======
HASKELL,"3,199 1,657 4,856"
LeFLORE,"941 558 1,499"
McINTOSH,"2,301 1,540 3,841"
MUSKOGEE,"1,131 524 1,655"
SEQUOYAH,"1,187 821 2,008"
STATE TOTAL:,"8,759 5,100 13,859"
"","STATE REPRESENTATIVE, DISTRICT 16"
"","General Election — November 2, 2004"
"",JERRY GARLAND TOTAL
"",SHOEMAKE (D) FOSTER (R) VOTES
"",============== ============ =======
MUSKOGEE,"1,236 498 1,734"
OKMULGEE,"7,972 2,843 10,815"
WAGONER,178 200 378
STATE TOTAL:,"9,386 3,541 12,927"
"","STATE REPRESENTATIVE, DISTRICT 17"
"","General Election — November 2, 2004"
"",MIKE MARK TOTAL
"",MASS (D) HALYARD (R) VOTES
"",========== ============= =======
HASKELL,144 78 222
LATIMER,"2,712 1,555 4,267"
LeFLORE,"621 400 1,021"
PITTSBURG,"5,615 3,332 8,947"
STATE TOTAL:,"9,092 5,365 14,457"
"","STATE REPRESENTATIVE, DISTRICT 18"
"","General Election — November 2, 2004"
"",TERRY M. ALLEN TOTAL
"",HARRISON (D) HARSHAW (R) VOTES
"",============== ============= =======
McINTOSH,"3,391 1,416 4,807"
PITTSBURG,"6,474 2,618 9,092"
STATE TOTAL:,"9,865 4,034 13,899"
"","STATE REPRESENTATIVE, DISTRICT 19"
"","General Election — November 2, 2004"
"",R. C. PATRICK K. TOTAL
"",PRUETT (D) MILLER (R) VOTES
"",============ ============ =======
CHOCTAW,"4,541 1,053 5,594"
LeFLORE,"1,670 773 2,443"
McCURTAIN,74 25 99
PUSHMATAHA,"3,891 793 4,684"
STATE TOTAL:,"10,176 2,644 12,820"
"","STATE REPRESENTATIVE, DISTRICT 20"
"","General Election — November 2, 2004"
"",PAUL D. TOM TOTAL
"",ROAN (D) STEPHENS (R) VOTES
"",========== ============== =======
ATOKA,"2,627 2,242 4,869"
BRYAN,564 347 911
COAL,"1,700 785 2,485"
JOHNSTON,"3,160 969 4,129"
PONTOTOC,450 213 663
STATE TOTAL:,"8,501 4,556 13,057"
"","STATE REPRESENTATIVE, DISTRICT 22"
"","General Election — November 2, 2004"
"",WES PRESTON TOTAL
"",HILLIARD (D) EDGAR (R) VOTES
"==============",=========== =======
CLEVELAND,"610 847 1,457"
GARVIN,"2,677 1,837 4,514"
McCLAIN,376 337 713
MURRAY,"3,394 2,227 5,621"
PONTOTOC,275 307 582
STATE TOTAL:,"7,332 5,555 12,887"
"","STATE REPRESENTATIVE, DISTRICT 23"
"","General Election — November 2, 2004"
"",MITCHELL SUE TOTAL
"",GARRETT (D) TIBBS (R) VOTES
"",============= =========== =======
TULSA,"4,728 7,658 12,386"
STATE TOTAL:,"4,728 7,658 12,386"
"","STATE REPRESENTATIVE, DISTRICT 25"
"","General Election — November 2, 2004"
"",BOB KEN TOTAL
"",PLUNK (D) BLACK (R) VOTES
"",=========== =========== =======
HUGHES,137 20 157
McCLAIN,121 133 254
PONTOTOC,"9,620 3,505 13,125"
POTTAWATOMIE,155 147 302
STATE TOTAL:,"10,033 3,805 13,838"
"","STATE REPRESENTATIVE, DISTRICT 26"
"","General Election — November 2, 2004"
"",PAT KRIS TOTAL
"",BATEMAN (D) STEELE (R) VOTES
"",============= ============ =======
POTTAWATOMIE,"3,920 8,608 12,528"
STATE TOTAL:,"3,920 8,608 12,528"
"","STATE REPRESENTATIVE, DISTRICT 27"
"","General Election — November 2, 2004"
"",KEVIN SHANE PETE
"",ROLAND (D) JETT (R) PENDLEY (I)
"",============ ========== =============
CLEVELAND,"882 1,429 102"
POTTAWATOMIE,"4,598 5,617 290"
STATE TOTAL:,"5,480 7,046 392"
"","STATE REPRESENTATIVE, DISTRICT 28"
"","General Election — November 2, 2004"
"",RYAN D. BILLY TOTAL
"",KIESEL (D) CHOATE (R) VOTES
"",============ ============ =======
LINCOLN,372 572 944
OKFUSKEE,593 372 965
POTTAWATOMIE,"707 923 1,630"
SEMINOLE,"5,461 3,591 9,052"
STATE TOTAL:,"7,133 5,458 12,591"
"","STATE REPRESENTATIVE, DISTRICT 29"
"","General Election — November 2, 2004"
"",JIM TODD TOTAL
"",THOMPSON (D) HIETT (R) VOTES
"==============",=========== =======
CREEK,"4,540 7,902 12,442"
TULSA,"608 1,104 1,712"
STATE TOTAL:,"5,148 9,006 14,154"
"","STATE REPRESENTATIVE, DISTRICT 30"
"","General Election — November 2, 2004"
"",JOHN MARK BRIAN TOTAL
"",YOUNG (D) BINGMAN (R) VOTES
"",=========== ============= =======
CREEK,"5,819 7,403 13,222"
TULSA,"465 701 1,166"
STATE TOTAL:,"6,284 8,104 14,388"
"","STATE REPRESENTATIVE, DISTRICT 31"
"","General Election — November 2, 2004"
"",THOMAS R. DALE HARVEY
"",COOK (D) DePUE (R) DERRICK (I)
"",=========== =========== =============
LOGAN,"3,857 9,793 1,089"
OKLAHOMA,"296 1,384 66"
STATE TOTAL:,"4,153 11,177 1,155"
"","STATE REPRESENTATIVE, DISTRICT 32"
"","General Election — November 2, 2004"
"",DANNY JOE TOTAL
"",MORGAN (D) SINKO (R) VOTES
"",============ =========== =======
CREEK,"1,106 481 1,587"
LINCOLN,"8,660 4,342 13,002"
STATE TOTAL:,"9,766 4,823 14,589"
"","STATE REPRESENTATIVE, DISTRICT 33"
"","General Election — November 2, 2004"
"",SUSAN H. LEE
"",CUSTER (D) DENNEY (R)
"",============ ============ =
LOGAN,901 187
PAYNE,"4,480 8,198"
STATE TOTAL:,"5,381 8,385"
"","STATE REPRESENTATIVE, DISTRICT 35"
"","General Election — November 2, 2004"
"",GARY REX
"",VANCE (D) DUNCAN (R)
"",=========== ============ =
NOBLE,"706 2,790"
OSAGE,"1,553 2,181"
PAWNEE,"3,713 3,133"
PAYNE,356 682
STATE TOTAL:,"6,328 8,786"
"","STATE REPRESENTATIVE, DISTRICT 39"
"","General Election — November 2, 2004"
"",MARIAN RICHARD SKI
"",COOKSEY (R) PRAWDZIENSKI (I)
"",============= ================== =
OKLAHOMA,"14,514 3,138"
STATE TOTAL:,"14,514 3,138"
"STATE REPRESENTATIVE, DISTRICT 40"
"General Election — November 2, 2004"
MIKE MIKE TOTAL
FRICKENSCHMIDT (D) JACKSON (R) VOTES
"GARFIELD 5,411 6,915 12,326"
"STATE TOTAL: 5,411 6,915 12,326"
"STATE REPRESENTATIVE, DISTRICT 42"
