,"STATE SENATOR, DISTRICT 1",
,"General Election — November 2, 2004",
,CHARLES PAT,TOTAL
,WYRICK (D) JURGENSMEYER (R),VOTES
,============ ==================,=======
CRAIG,716 307,"1,023"
DELAWARE,"8,365 6,807","15,172"
OTTAWA,"8,175 3,964","12,139"
STATE TOTAL:,"17,256 11,078","28,334"
,"STATE SENATOR, DISTRICT 9",
,"General Election — November 2, 2004",
,EARL PENNY,TOTAL
,GARRISON (D) KAMPF (R),VOTES
,============== ===========,=======
MUSKOGEE,"17,660 9,317","26,977"
WAGONER,948 749,"1,697"
STATE TOTAL:,"18,608 10,066","28,674"
,"STATE SENATOR, DISTRICT 11",
,"General Election — November 2, 2004",
,JUDY LAWRENCE,TOTAL
,McINTYRE (D) KIRKPATRICK (I),VOTES
,============== =================,=======
OSAGE,"2,179 229","2,408"
TULSA,"14,802 2,259","17,061"
STATE TOTAL:,"16,981 2,488","19,469"
,"STATE SENATOR, DISTRICT 13",
,"General Election — November 2, 2004",
,SUSAN KARROLL G. TOTAL,
,PADDACK (D) RHOADS (R) VOTES,
,============= ============ =======,
COAL,91 40 131,
GARVIN,"5,533 2,949 8,482",
HUGHES,"3,548 1,647 5,195",
PONTOTOC,"8,571 5,928 14,499",
STATE TOTAL:,"17,743 10,564 28,307",
,"STATE SENATOR, DISTRICT 15",
,"General Election — November 2, 2004",
,LISA JONATHAN TOTAL,
,PRYOR (D) NICHOLS (R) VOTES,
,=========== ============= =======,
CLEVELAND,"12,419 16,688 29,107",
McCLAIN,"2,809 3,838 6,647",
STATE TOTAL:,"15,228 20,526 35,754",
,"STATE SENATOR, DISTRICT 19",
,"General Election — November 2, 2004",
,JIM PATRICK TOTAL,
,STATES (D) ANDERSON (R) VOTES,
,============ ============== =======,
GARFIELD,"5,879 14,224 20,103",
KINGFISHER,"1,078 1,023 2,101",
LOGAN,"2,287 4,179 6,466",
STATE TOTAL:,"9,244 19,426 28,670",
,"STATE SENATOR, DISTRICT 21",
,"General Election — November 2, 2004",
,MIKE CHUCK TOTAL,
,MORGAN (D) BREWER (R) VOTES,
,============ ============ =======,
LINCOLN,"1,019 512 1,531",
LOGAN,"2,994 1,380 4,374",
PAYNE,"14,426 10,228 24,654",
STATE TOTAL:,"18,439 12,120 30,559",
,"STATE SENATOR, DISTRICT 23",
,"General Election — November 2, 2004",
,MARILYN RON TOTAL,
,FEAVER (D) JUSTICE (R) VOTES,
,============ ============= =======,
BLAINE,"1,033 1,780 2,813",
CADDO,"3,018 2,266 5,284",
CANADIAN,"2,936 6,973 9,909",
GRADY,"4,085 6,710 10,795",
STATE TOTAL:,"11,072 17,729 28,801",
,"STATE SENATOR, DISTRICT 27",
,"General Election — November 2, 2004",
,H. KATHY OWEN TOTAL,
,MOORE (D) LAUGHLIN (R) VOTES,
,=========== ============== =======,
BEAVER,"339 2,184 2,523",
BLAINE,"477 1,044 1,521",
CIMARRON,"230 1,150 1,380",
HARPER,"314 1,303 1,617",
MAJOR,"728 2,801 3,529",
TEXAS,"1,188 5,093 6,281",
WOODS,"970 2,984 3,954",
WOODWARD,"1,529 5,963 7,492",
STATE TOTAL:,"5,775 22,522 28,297",
,"STATE SENATOR, DISTRICT 29",
,"General Election — November 2, 2004",
,ALAN JOHN TOTAL,
,GENTGES (D) FORD (R) VOTES,
,============= ========== =======,
CRAIG,"2,499 2,491 4,990",
NOWATA,"1,873 2,405 4,278",
WASHINGTON,"6,937 15,953 22,890",
