county,office,candidate,party,precinct,mail_votes,early_votes,elec_day_votes,votes,district
ALFALFA,COMMISSIONER WARD 1 CITY OF CHEROKEE,MICHAEL LEE WEST,,20140,0,0,8,8,COMMISSIONER WARD 1 CITY OF CHEROKEE
ALFALFA,COMMISSIONER WARD 1 CITY OF CHEROKEE,LANCE MILLER,,20140,0,1,29,30,COMMISSIONER WARD 1 CITY OF CHEROKEE
ALFALFA,PROPOSITION CITY OF CHEROKEE,FOR THE PROPOSITION - YES,,20140,0,2,41,43,
ALFALFA,PROPOSITION CITY OF CHEROKEE,AGAINST THE PROPOSITION - NO,,20140,0,0,7,7,
ALFALFA,PROPOSITION CITY OF CHEROKEE,FOR THE PROPOSITION - YES,,20220,2,6,22,30,
ALFALFA,PROPOSITION CITY OF CHEROKEE,AGAINST THE PROPOSITION - NO,,20220,1,0,0,1,
ALFALFA,BOARD OF TRUSTEES TOWN OF CARMEN,TAMMY JEAN PRUITT,,20230,1,0,20,21,
ALFALFA,BOARD OF TRUSTEES TOWN OF CARMEN,CHRIS MOORE,,20230,2,0,41,43,
ALFALFA,BOARD OF TRUSTEES TOWN OF CARMEN,MICHAEL JAMES WILKINSON,,20230,3,0,45,48,
BLAINE,COUNTY QUESTION,FOR THE PROPOSITION - YES,,60002,2,4,241,247,
BLAINE,COUNTY QUESTION,AGAINST THE PROPOSITION - NO,,60002,4,0,78,82,
BLAINE,BOARD OF TRUSTEES TOWN OF OKEENE,BUDDY L KING,,60002,2,1,27,30,
BLAINE,BOARD OF TRUSTEES TOWN OF OKEENE,ROBERT ALAN CANCEMI,,60002,0,0,19,19,
BLAINE,BOARD OF TRUSTEES TOWN OF OKEENE,HANK MOORE,,60002,0,0,105,105,
BLAINE,BOARD OF TRUSTEES TOWN OF OKEENE,CODY NEASE,,60002,0,1,147,148,
BLAINE,BOARD OF TRUSTEES TOWN OF OKEENE,BUSTER ALDRICH,,60002,1,0,106,107,
BLAINE,BOARD OF TRUSTEES TOWN OF OKEENE,SKYLER J. GRECO,,60002,2,2,126,130,
BLAINE,COUNTY QUESTION,FOR THE PROPOSITION - YES,,60007,6,0,62,68,
BLAINE,COUNTY QUESTION,AGAINST THE PROPOSITION - NO,,60007,1,0,11,12,
BLAINE,COUNTY QUESTION,FOR THE PROPOSITION - YES,,60010,5,3,15,23,
BLAINE,COUNTY QUESTION,AGAINST THE PROPOSITION - NO,,60010,2,0,33,35,
BLAINE,"COUNCILMEMBER, WARD NO. 1 CITY OF WATONGA",KENDRA S. BAKER,,60010,1,0,14,15,"COUNCILMEMBER, WARD NO. 1 CITY OF WATONGA"
BLAINE,"COUNCILMEMBER, WARD NO. 1 CITY OF WATONGA",ALANA BURKS,,60010,1,2,13,16,"COUNCILMEMBER, WARD NO. 1 CITY OF WATONGA"
BLAINE,"COUNCILMEMBER, WARD NO. 3 CITY OF WATONGA",KATIE PARKER,,60010,1,2,23,26,"COUNCILMEMBER, WARD NO. 3 CITY OF WATONGA"
BLAINE,"COUNCILMEMBER, WARD NO. 3 CITY OF WATONGA",STEVEN PROUTY,,60010,1,0,3,4,"COUNCILMEMBER, WARD NO. 3 CITY OF WATONGA"
BLAINE,COUNTY QUESTION,FOR THE PROPOSITION - YES,,60011,1,2,26,29,
BLAINE,COUNTY QUESTION,AGAINST THE PROPOSITION - NO,,60011,2,0,31,33,
BLAINE,"COUNCILMEMBER, WARD NO. 1 CITY OF WATONGA",KENDRA S. BAKER,,60011,3,2,31,36,"COUNCILMEMBER, WARD NO. 1 CITY OF WATONGA"
BLAINE,"COUNCILMEMBER, WARD NO. 1 CITY OF WATONGA",ALANA BURKS,,60011,0,0,23,23,"COUNCILMEMBER, WARD NO. 1 CITY OF WATONGA"
BLAINE,"COUNCILMEMBER, WARD NO. 3 CITY OF WATONGA",KATIE PARKER,,60011,3,2,48,53,"COUNCILMEMBER, WARD NO. 3 CITY OF WATONGA"
BLAINE,"COUNCILMEMBER, WARD NO. 3 CITY OF WATONGA",STEVEN PROUTY,,60011,0,0,5,5,"COUNCILMEMBER, WARD NO. 3 CITY OF WATONGA"
BLAINE,COUNTY QUESTION,FOR THE PROPOSITION - YES,,60012,3,11,75,89,
BLAINE,COUNTY QUESTION,AGAINST THE PROPOSITION - NO,,60012,8,6,88,102,
BLAINE,"COUNCILMEMBER, WARD NO. 1 CITY OF WATONGA",KENDRA S. BAKER,,60012,2,8,104,114,"COUNCILMEMBER, WARD NO. 1 CITY OF WATONGA"
BLAINE,"COUNCILMEMBER, WARD NO. 1 CITY OF WATONGA",ALANA BURKS,,60012,2,3,29,34,"COUNCILMEMBER, WARD NO. 1 CITY OF WATONGA"
BLAINE,"COUNCILMEMBER, WARD NO. 3 CITY OF WATONGA",KATIE PARKER,,60012,2,11,108,121,"COUNCILMEMBER, WARD NO. 3 CITY OF WATONGA"
BLAINE,"COUNCILMEMBER, WARD NO. 3 CITY OF WATONGA",STEVEN PROUTY,,60012,2,0,24,26,"COUNCILMEMBER, WARD NO. 3 CITY OF WATONGA"
BLAINE,COUNTY QUESTION,FOR THE PROPOSITION - YES,,60016,0,4,11,15,
BLAINE,COUNTY QUESTION,AGAINST THE PROPOSITION - NO,,60016,0,3,3,6,
