county,office,candidate,party,precinct,mail_votes,early_votes,elec_day_votes,votes,district
COMANCHE,PROPOSITION CACHE PUBLIC SCHOOLS,FOR THE PROPOSITION - YES,,160009,0,0,5,5,
COMANCHE,PROPOSITION CACHE PUBLIC SCHOOLS,AGAINST THE PROPOSITION - NO,,160009,0,0,0,0,
COMANCHE,PROPOSITION CACHE PUBLIC SCHOOLS,FOR THE PROPOSITION - YES,,160035,0,0,12,12,
COMANCHE,PROPOSITION CACHE PUBLIC SCHOOLS,AGAINST THE PROPOSITION - NO,,160035,0,0,10,10,
COMANCHE,PROPOSITION CACHE PUBLIC SCHOOLS,FOR THE PROPOSITION - YES,,160041,3,0,18,21,
COMANCHE,PROPOSITION CACHE PUBLIC SCHOOLS,AGAINST THE PROPOSITION - NO,,160041,0,0,3,3,
COMANCHE,PROPOSITION CACHE PUBLIC SCHOOLS,FOR THE PROPOSITION - YES,,160042,17,15,306,338,
COMANCHE,PROPOSITION CACHE PUBLIC SCHOOLS,AGAINST THE PROPOSITION - NO,,160042,14,10,149,173,
COMANCHE,PROPOSITION CACHE PUBLIC SCHOOLS,FOR THE PROPOSITION - YES,,160045,4,4,82,90,
COMANCHE,PROPOSITION CACHE PUBLIC SCHOOLS,AGAINST THE PROPOSITION - NO,,160045,5,2,48,55,
CUSTER,PROPOSITION NO. 1 CITY OF CLINTON,FOR THE PROPOSITION - YES,,200001,4,1,65,70,PROPOSITION NO. 1 CITY OF CLINTON
CUSTER,PROPOSITION NO. 1 CITY OF CLINTON,AGAINST THE PROPOSITION - NO,,200001,2,0,10,12,PROPOSITION NO. 1 CITY OF CLINTON
CUSTER,PROPOSITION NO. 2 CITY OF CLINTON,FOR THE PROPOSITION - YES,,200001,3,1,65,69,PROPOSITION NO. 2 CITY OF CLINTON
CUSTER,PROPOSITION NO. 2 CITY OF CLINTON,AGAINST THE PROPOSITION - NO,,200001,3,0,9,12,PROPOSITION NO. 2 CITY OF CLINTON
CUSTER,PROPOSITION NO. 1 CITY OF CLINTON,FOR THE PROPOSITION - YES,,200003,4,7,155,166,PROPOSITION NO. 1 CITY OF CLINTON
CUSTER,PROPOSITION NO. 1 CITY OF CLINTON,AGAINST THE PROPOSITION - NO,,200003,1,0,16,17,PROPOSITION NO. 1 CITY OF CLINTON
CUSTER,PROPOSITION NO. 2 CITY OF CLINTON,FOR THE PROPOSITION - YES,,200003,4,6,153,163,PROPOSITION NO. 2 CITY OF CLINTON
